Day,doge: (United States)
2/26/2021,3
2/27/2021,3
2/28/2021,3
3/1/2021,3
3/2/2021,3
3/3/2021,3
3/4/2021,4
3/5/2021,4
3/6/2021,4
3/7/2021,3
3/8/2021,4
3/9/2021,4
3/10/2021,3
3/11/2021,4
3/12/2021,3
3/13/2021,4
3/14/2021,4
3/15/2021,3
3/16/2021,3
3/17/2021,3
3/18/2021,3
3/19/2021,2
3/20/2021,2
3/21/2021,3
3/22/2021,2
3/23/2021,2
3/24/2021,2
3/25/2021,2
3/26/2021,2
3/27/2021,2
3/28/2021,2
3/29/2021,2
3/30/2021,3
3/31/2021,2
4/1/2021,3
4/2/2021,3
4/3/2021,2
4/4/2021,2
4/5/2021,2
4/6/2021,3
4/7/2021,3
4/8/2021,2
4/9/2021,3
4/10/2021,2
4/11/2021,5
4/12/2021,3
4/13/2021,11
4/14/2021,24
4/15/2021,23
4/16/2021,100
4/17/2021,35
4/18/2021,23
